Data;4391 - Taxa de juros - CDI acumulada no m�s - % a.m.
01/2008;0,92
02/2008;0,80
03/2008;0,84
04/2008;0,90
05/2008;0,87
06/2008;0,95
07/2008;1,06
08/2008;1,01
09/2008;1,10
10/2008;1,17
11/2008;1,00
12/2008;1,11
01/2009;1,04
02/2009;0,85
03/2009;0,97
04/2009;0,84
05/2009;0,77
06/2009;0,75
07/2009;0,78
08/2009;0,69
09/2009;0,69
10/2009;0,69
11/2009;0,66
12/2009;0,72
01/2010;0,66
02/2010;0,59
03/2010;0,76
04/2010;0,66
05/2010;0,75
06/2010;0,79
07/2010;0,86
08/2010;0,89
09/2010;0,84
10/2010;0,81
11/2010;0,81
12/2010;0,93
01/2011;0,86
02/2011;0,84
03/2011;0,92
04/2011;0,84
05/2011;0,99
06/2011;0,95
07/2011;0,97
08/2011;1,07
09/2011;0,94
10/2011;0,88
11/2011;0,86
12/2011;0,90
01/2012;0,89
02/2012;0,74
03/2012;0,81
04/2012;0,70
05/2012;0,73
06/2012;0,64
07/2012;0,68
08/2012;0,69
09/2012;0,54
10/2012;0,61
11/2012;0,54
12/2012;0,53
01/2013;0,59
02/2013;0,48
03/2013;0,54
04/2013;0,60
05/2013;0,58
06/2013;0,59
07/2013;0,71
08/2013;0,70
09/2013;0,70
10/2013;0,80
11/2013;0,71
12/2013;0,78
01/2014;0,84
02/2014;0,78
03/2014;0,76
04/2014;0,82
05/2014;0,86
06/2014;0,82
07/2014;0,94
08/2014;0,86
09/2014;0,90
10/2014;0,94
11/2014;0,84
12/2014;0,96
01/2015;0,93
02/2015;0,82
03/2015;1,04
04/2015;0,95
05/2015;0,98
06/2015;1,07
07/2015;1,18
08/2015;1,11
09/2015;1,11
10/2015;1,11
11/2015;1,06
12/2015;1,16
01/2016;1,05
02/2016;1,00
03/2016;1,16
04/2016;1,05
05/2016;1,11
06/2016;1,16
07/2016;1,11
08/2016;1,21
09/2016;1,11
10/2016;1,05
11/2016;1,04
12/2016;1,12
01/2017;1,08
02/2017;0,86
03/2017;1,05
04/2017;0,79
05/2017;0,93
06/2017;0,81
07/2017;0,80
08/2017;0,80
09/2017;0,64
10/2017;0,64
11/2017;0,57
12/2017;0,54
01/2018;0,58
02/2018;0,46
03/2018;0,53
04/2018;0,52
05/2018;0,52
06/2018;0,52
07/2018;0,54
08/2018;0,57
09/2018;0,47
10/2018;0,54
11/2018;0,49
12/2018;0,49
01/2019;0,54
02/2019;0,49
03/2019;0,47
04/2019;0,52
05/2019;0,54
06/2019;0,47
07/2019;0,57
08/2019;0,50
09/2019;0,46
10/2019;0,48
11/2019;0,38
12/2019;0,37
01/2020;0,38
02/2020;0,29
03/2020;0,34
04/2020;0,28
05/2020;0,24
06/2020;0,21
07/2020;0,19
08/2020;0,16
09/2020;0,16
10/2020;0,16
11/2020;0,15
12/2020;0,16
01/2021;0,15
02/2021;0,13
03/2021;0,20
04/2021;0,21
05/2021;0,27
06/2021;0,31
07/2021;0,36
08/2021;0,43
09/2021;0,44
10/2021;0,49
11/2021;0,59
12/2021;0,77
01/2022;0,73
02/2022;0,76
03/2022;0,93
04/2022;0,83
05/2022;1,03
06/2022;1,02
07/2022;1,03
08/2022;1,17
09/2022;1,07
10/2022;1,02
11/2022;1,02
12/2022;1,12
01/2023;1,12
02/2023;0,92
03/2023;1,17
04/2023;0,92
05/2023;1,12
06/2023;1,07
07/2023;1,07
08/2023;1,14
09/2023;0,97
10/2023;1,00
11/2023;0,92
12/2023;0,89
01/2024;0,97
02/2024;0,80
03/2024;0,83
04/2024;0,89
05/2024;0,83
06/2024;0,79
07/2024;0,91
08/2024;0,87
09/2024;0,84
10/2024;0,93
11/2024;0,79
12/2024;0,93
01/2025;1,01
02/2025;0,99
03/2025;0,96
04/2025;1,06
05/2025;1,14
06/2025;1,10
07/2025;1,28
08/2025;1,16
09/2025;1,22
10/2025;1,28
11/2025;1,05
12/2025;1,22
01/2026;1,16
02/2026;0,66
