ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
VIVT4,201003,201003,-0.0074894690578719,1.0,1
LIGT3,201003,201003,0.2145638273827434,2.0,1
ISAE4,201003,201003,0.2283048077891164,3.0,1
NATU3,201003,201003,0.2435397285196492,4.0,1
AXIA3,201003,201003,0.2464562179156379,5.0,1
ELPL4,201003,201003,0.2819355782591075,6.0,1
CPFE3,201003,201003,0.2864924045047291,7.0,1
CMIG4,201003,201003,0.3285707226248465,8.0,1
TNLP4,201003,201003,0.3320765469281388,9.0,1
CRUZ3,201003,201003,0.3471287294914408,10.0,1
GETI4,201003,201003,0.351072276023291,11.0,1
EGIE3,201003,201003,0.3643462044439448,12.0,1
RDCD3,201003,201003,0.3843392809061851,13.0,1
PCAR4,201003,201003,0.3913779654056166,14.0,1
ENBR3,201003,201003,0.4077333304004976,15.0,1
AMBV4,201003,201003,0.4109001512461066,16.0,1
ABEV3,201003,201003,0.4347744645632043,17.0,1
CPLE6,201003,201003,0.4439540381497168,18.0,1
CLSC4,201003,201003,0.4863686031897685,19.0,1
TMAR5,201003,201003,0.5025694702520407,20.0,1
CGAS5,201003,201003,0.5297972282253621,21.0,1
UGPA4,201003,201003,0.5781156417081179,22.0,1
TIMS3,201003,201003,0.5857486455882598,23.0,1
EMBJ3,201003,201003,0.6345825472129017,24.0,1
BRKM5,201003,201003,0.6420050549442058,25.0,1
OIBR4,201003,201003,0.6510350000918261,26.0,1
MOTV3,201003,201003,0.7904869913086322,27.0,1
NETC4,201003,201003,0.8027758403919946,28.0,2
TCSL4,201003,201003,0.8177257617022039,29.0,2
WEGE3,201003,201003,0.8218154788670656,30.0,2
AMIL3,201003,201003,0.8252160183026018,31.0,2
KLBN4,201003,201003,0.8339885576437215,32.0,2
BRFS3,201003,201003,0.8382374142532109,33.0,2
PSSA3,201003,201003,0.848059211377851,34.0,2
DASA3,201003,201003,0.848414847664042,35.0,2
TAMM4,201003,201003,0.8607456188838732,36.0,2
VIVO4,201003,201003,0.8759756885721023,37.0,2
GVTT3,201003,201003,0.8789065053076528,38.0,2
POSI3,201003,201003,0.8869235430828369,39.0,2
VALE5,201003,201003,0.9066672889477516,40.0,2
SLCE3,201003,201003,0.9137448393059752,41.0,2
ITSA4,201003,201003,0.9260608264964248,42.0,2
CNFB4,201003,201003,0.9666313594365624,43.0,2
CSMG3,201003,201003,0.9972833808552576,44.0,2
TOTS3,201003,201003,1.0044602698131997,45.0,2
JBSS3,201003,201003,1.0053696506944378,46.0,2
SULA11,201003,201003,1.0352552340684962,47.0,2
MULT3,201003,201003,1.0409863865016835,48.0,2
FFTL4,201003,201003,1.0573450108362323,49.0,2
ALLL11,201003,201003,1.0836459287363178,50.0,2
PETR4,201003,201003,1.0929607464073363,51.0,2
GOLL54,201003,201003,1.1082916765467867,52.0,2
CSAN3,201003,201003,1.1448159750351083,53.0,2
LUPA3,201003,201003,1.161703054845964,54.0,2
GPIV33,201003,201003,1.1639515313168514,55.0,3
MYPK3,201003,201003,1.1954434833140246,56.0,3
SUZB5,201003,201003,1.2099361709679433,57.0,3
ARTR3,201003,201003,1.2245611984606617,58.0,3
POMO4,201003,201003,1.2565870758401405,59.0,3
LAME4,201003,201003,1.2698220026040343,60.0,3
FESA4,201003,201003,1.277241929790638,61.0,3
BRML3,201003,201003,1.3140907498002417,62.0,3
MBRF3,201003,201003,1.3311852423468424,63.0,3
RENT3,201003,201003,1.3324398968945557,64.0,3
USIM5,201003,201003,1.359391367610414,65.0,3
CSNA3,201003,201003,1.3891549055793826,66.0,3
GOAU4,201003,201003,1.4575588751670363,67.0,3
GGBR4,201003,201003,1.5001255697390958,68.0,3
