ticker,data,ano_mes_carteira,illiquidity,indicator_rank,tercile
GPIV33,201003,201003,0.056204365536703,1.0,1
FHER3,201003,201003,0.0524311030700019,2.0,1
MYPK3,201003,201003,0.0523745298145553,3.0,1
ARTR3,201003,201003,0.0500296419726871,4.0,1
CLSC4,201003,201003,0.0436383277712501,5.0,1
FESA4,201003,201003,0.0434171852529514,6.0,1
POMO4,201003,201003,0.0415648158658507,7.0,1
BICB4,201003,201003,0.0374618459762323,8.0,1
MULT3,201003,201003,0.0353553479725702,9.0,1
AMIL3,201003,201003,0.0342515685276685,10.0,1
TIMS3,201003,201003,0.0335420580210948,11.0,1
SLCE3,201003,201003,0.0319541185972015,12.0,1
RAPT4,201003,201003,0.0269938138470894,13.0,1
LAND3,201003,201003,0.026440177799556,14.0,1
CGAS5,201003,201003,0.0238373416650386,15.0,1
TOTS3,201003,201003,0.0233173267295073,16.0,1
MBRF3,201003,201003,0.0182087190291967,17.0,1
ENEV3,201003,201003,0.0180508965915672,18.0,1
BISA3,201003,201003,0.0179202819510872,19.0,1
ABEV3,201003,201003,0.0174207195681197,20.0,1
POSI3,201003,201003,0.0167975227888827,21.0,1
CNFB4,201003,201003,0.0167413006285629,22.0,1
SULA11,201003,201003,0.0160998526980774,23.0,1
WEGE3,201003,201003,0.0158579696214516,24.0,1
LUPA3,201003,201003,0.0140066756526669,25.0,1
RENT3,201003,201003,0.0139557553955269,26.0,1
BRML3,201003,201003,0.0137101047123057,27.0,1
CSMG3,201003,201003,0.0134655211730386,28.0,2
KLBN4,201003,201003,0.012366403995906,29.0,2
PSSA3,201003,201003,0.0102209049271603,30.0,2
FFTL4,201003,201003,0.0091529991177306,31.0,2
OIBR4,201003,201003,0.0088905357198315,32.0,2
TMAR5,201003,201003,0.0087620480889048,33.0,2
SUZB5,201003,201003,0.0082349303271834,34.0,2
ENBR3,201003,201003,0.0076357753589048,35.0,2
VIVT4,201003,201003,0.0073924233431817,36.0,2
BRKM5,201003,201003,0.007005543783468,37.0,2
DASA3,201003,201003,0.0069145716444792,38.0,2
GETI4,201003,201003,0.0056429407881185,39.0,2
JBSS3,201003,201003,0.0055806685494751,40.0,2
RSID3,201003,201003,0.0055564509669988,41.0,2
ISAE4,201003,201003,0.0053726282422246,42.0,2
MRVE3,201003,201003,0.0051140105525451,43.0,2
TAMM4,201003,201003,0.0050264517320356,44.0,2
PDGR3,201003,201003,0.0046724522163162,45.0,2
CSAN3,201003,201003,0.0046063413783344,46.0,2
GOLL54,201003,201003,0.0044167213898829,47.0,2
TCSL4,201003,201003,0.003996909981233,48.0,2
EMBJ3,201003,201003,0.0039721243059885,49.0,2
EGIE3,201003,201003,0.0037456608150362,50.0,2
LIGT3,201003,201003,0.0037317441530196,51.0,2
CRUZ3,201003,201003,0.0036796055571,52.0,2
AMER3,201003,201003,0.0034572027355286,53.0,2
CPFE3,201003,201003,0.0034445675888407,54.0,2
MOTV3,201003,201003,0.0032768581361094,55.0,3
CPLE6,201003,201003,0.00315472814797,56.0,3
GOAU4,201003,201003,0.0031530166711918,57.0,3
NETC4,201003,201003,0.0030645429074687,58.0,3
VIVO4,201003,201003,0.0029478941956809,59.0,3
LAME4,201003,201003,0.0028804394997815,60.0,3
LREN3,201003,201003,0.0027778944652746,61.0,3
GFSA3,201003,201003,0.0027441295397413,62.0,3
UGPA4,201003,201003,0.0025898033989163,63.0,3
ELPL4,201003,201003,0.0025521158265386,64.0,3
NATU3,201003,201003,0.002473363895293,65.0,3
GVTT3,201003,201003,0.0024141462286407,66.0,3
PCAR4,201003,201003,0.0023585337410871,67.0,3
AXIA3,201003,201003,0.0022391402352948,68.0,3
CYRE3,201003,201003,0.0021308210669433,69.0,3
ALLL11,201003,201003,0.0020245941012047,70.0,3
TNLP4,201003,201003,0.0019674895058371,71.0,3
BRFS3,201003,201003,0.0016423709416206,72.0,3
RDCD3,201003,201003,0.0012520737557676,73.0,3
CMIG4,201003,201003,0.0011696998438293,74.0,3
AMBV4,201003,201003,0.0011675052924089,75.0,3
ITSA4,201003,201003,0.0008009149025164,76.0,3
CSNA3,201003,201003,0.0006541249057168,77.0,3
GGBR4,201003,201003,0.0006217678111976,78.0,3
USIM5,201003,201003,0.0006191321506435,79.0,3
VALE5,201003,201003,0.0001050703364342,80.0,3
PETR4,201003,201003,8.938428577126995e-05,81.0,3
FHER3,201004,201004,0.0543265599213436,1.0,1
CLSC4,201004,201004,0.0524637464729627,2.0,1
MYPK3,201004,201004,0.0490126018673376,3.0,1
FESA4,201004,201004,0.0387668843201469,4.0,1
GPIV33,201004,201004,0.0385705858560876,5.0,1
BICB4,201004,201004,0.0363385147976281,6.0,1
POMO4,201004,201004,0.0343193481622388,7.0,1
AMIL3,201004,201004,0.0333544973506032,8.0,1
TIMS3,201004,201004,0.0325324550680618,9.0,1
ARTR3,201004,201004,0.0300404731189835,10.0,1
CGAS5,201004,201004,0.0290303181754847,11.0,1
SLCE3,201004,201004,0.0282215321462753,12.0,1
MULT3,201004,201004,0.0253212414039122,13.0,1
RAPT4,201004,201004,0.0235096718689151,14.0,1
TOTS3,201004,201004,0.0220425262870702,15.0,1
POSI3,201004,201004,0.0160983766554376,16.0,1
CNFB4,201004,201004,0.0153360387504227,17.0,1
ABEV3,201004,201004,0.0151935778342703,18.0,1
BISA3,201004,201004,0.0148331231328977,19.0,1
WEGE3,201004,201004,0.0143761489270356,20.0,1
ENEV3,201004,201004,0.0142432140337833,21.0,1
MBRF3,201004,201004,0.0142319619149111,22.0,1
SULA11,201004,201004,0.0135780038878891,23.0,1
CSMG3,201004,201004,0.0130635281084724,24.0,1
LAND3,201004,201004,0.011234418911652,25.0,1
RENT3,201004,201004,0.0108455789210609,26.0,1
LUPA3,201004,201004,0.0106871567701909,27.0,1
KLBN4,201004,201004,0.0106788832117477,28.0,2
BRML3,201004,201004,0.0104466602123699,29.0,2
PSSA3,201004,201004,0.0100557058231071,30.0,2
FFTL4,201004,201004,0.0089362520045948,31.0,2
TMAR5,201004,201004,0.0082532171587361,32.0,2
OIBR4,201004,201004,0.0080130115256677,33.0,2
VIVT4,201004,201004,0.0074721157654716,34.0,2
ENBR3,201004,201004,0.0069685642627058,35.0,2
SUZB5,201004,201004,0.006827371548435,36.0,2
DASA3,201004,201004,0.0063060971975369,37.0,2
BRKM5,201004,201004,0.0055248634651218,38.0,2
ISAE4,201004,201004,0.0053557070251212,39.0,2
GETI4,201004,201004,0.0052736202070703,40.0,2
JBSS3,201004,201004,0.004910215352987,41.0,2
RSID3,201004,201004,0.0044060490197186,42.0,2
TAMM4,201004,201004,0.0042894449093734,43.0,2
CSAN3,201004,201004,0.0040100690577077,44.0,2
MRVE3,201004,201004,0.003907894097878,45.0,2
GOLL54,201004,201004,0.0038761151241869,46.0,2
TCSL4,201004,201004,0.0037828500375161,47.0,2
CRUZ3,201004,201004,0.003705266009109,48.0,2
PDGR3,201004,201004,0.0036388023652773,49.0,2
EGIE3,201004,201004,0.0035963177413351,50.0,2
LIGT3,201004,201004,0.0033851341798584,51.0,2
EMBJ3,201004,201004,0.0033653011975871,52.0,2
CPFE3,201004,201004,0.003305062837178,53.0,2
AMER3,201004,201004,0.0030698023448364,54.0,2
CPLE6,201004,201004,0.0029580029208994,55.0,3
MOTV3,201004,201004,0.002954532897039,56.0,3
GOAU4,201004,201004,0.0028809617055602,57.0,3
VIVO4,201004,201004,0.002854831993258,58.0,3
NETC4,201004,201004,0.0027318866843174,59.0,3
LAME4,201004,201004,0.0026985345552234,60.0,3
ELPL4,201004,201004,0.002460154536812,61.0,3
UGPA4,201004,201004,0.0024565674143244,62.0,3
GFSA3,201004,201004,0.0023922653762861,63.0,3
NATU3,201004,201004,0.0023636907968422,64.0,3
LREN3,201004,201004,0.0023317836603481,65.0,3
GVTT3,201004,201004,0.0022362257575972,66.0,3
AXIA3,201004,201004,0.0021935230165763,67.0,3
PCAR4,201004,201004,0.0020724363477932,68.0,3
CYRE3,201004,201004,0.0018414388131534,69.0,3
TNLP4,201004,201004,0.0018275168194689,70.0,3
ALLL11,201004,201004,0.0017982596728475,71.0,3
BRFS3,201004,201004,0.0012918509239051,72.0,3
RDCD3,201004,201004,0.0012582870275101,73.0,3
CMIG4,201004,201004,0.0011225039475015,74.0,3
AMBV4,201004,201004,0.00111796337888,75.0,3
ITSA4,201004,201004,0.0007484253796455,76.0,3
CSNA3,201004,201004,0.000597908957748,77.0,3
GGBR4,201004,201004,0.0005764248720547,78.0,3
USIM5,201004,201004,0.0005673720794859,79.0,3
VALE5,201004,201004,9.811142894954938e-05,80.0,3
