ticker,data,ano_mes_carteira,market_cap,indicator_rank,tercile
FHER3,2009,2010,518639.7,1.0,1
KSSA3,2009,2010,721244.7,2.0,1
LAND3,2009,2010,790520.32,3.0,1
FESA4,2009,2010,1034640.0,4.0,1
AGIN3,2009,2010,1194087.04,5.0,1
MYPK3,2009,2010,1207144.4,6.0,1
LUPA3,2009,2010,1294349.1,7.0,1
CLSC4,2009,2010,1353842.1,8.0,1
POMO4,2009,2010,1441447.7,9.0,1
SLCE3,2009,2010,1590774.05,10.0,1
GPIV33,2009,2010,1597472.2146,11.0,1
POSI3,2009,2010,1919844.08,12.0,1
EQTL3,2009,2010,1954456.1,13.0,1
TEND3-old,2009,2010,2203586.0,14.0,1
CNFB4,2009,2010,2232725.15,15.0,1
ARTR3,2009,2010,2342226.0,16.0,1
RAPT4,2009,2010,2389936.52,17.0,1
ENEV3,2009,2010,3075592.5,18.0,1
BICB4,2009,2010,3089095.7944,19.0,1
DASA3,2009,2010,3271396.97,20.0,1
BISA3,2009,2010,3382667.7456,21.0,1
TOTS3,2009,2010,3675936.0,22.0,1
MAGG3,2009,2010,3727435.3,23.0,1
CGAS5,2009,2010,3731753.7493,24.0,1
RENT3,2009,2010,3815352.24,25.0,1
CSMG3,2009,2010,3821389.25,26.0,1
RSID3,2009,2010,4051771.8264,27.0,1
BRML3,2009,2010,4310470.5,28.0,1
GFSA3,2009,2010,4709782.48,29.0,1
LREN3,2009,2010,4789176.6,30.0,1
KLBN4,2009,2010,4814797.95,31.0,1
SULA11,2009,2010,4846473.14,32.0,2
AMIL3,2009,2010,4889625.9,33.0,2
AMER3,2009,2010,5267273.2,34.0,2
LIGT3,2009,2010,5291480.6568,35.0,2
ENBR3,2009,2010,5318513.75,36.0,2
TAMM4,2009,2010,5549257.28,37.0,2
ELPL4,2009,2010,5672275.827,38.0,2
MULT3,2009,2010,5755299.55,39.0,2
SUZB5,2009,2010,6277187.7196,40.0,2
PSSA3,2009,2010,6592267.2932,41.0,2
MBRF3,2009,2010,6623406.1587,42.0,2
PDGR3,2009,2010,6764383.3,43.0,2
MRVE3,2009,2010,6787740.0,44.0,2
EMBJ3,2009,2010,6882054.5684,45.0,2
GOLL54,2009,2010,6906636.0,46.0,2
BRKM5,2009,2010,6999047.0089,47.0,2
PRML3,2009,2010,7001811.93,48.0,2
GETI4,2009,2010,7072169.2,49.0,2
FFTL4,2009,2010,7471387.3318,50.0,2
GVTT3,2009,2010,7684323.2503,51.0,2
NETC4,2009,2010,7773296.0,52.0,2
ISAE4,2009,2010,7938699.75,53.0,2
CPLE6,2009,2010,10057878.306,54.0,2
CYRE3,2009,2010,10348481.5,55.0,2
CSAN3,2009,2010,10398724.556,56.0,2
LAME4,2009,2010,10527179.19,57.0,2
UGPA4,2009,2010,10730814.61,58.0,2
WEGE3,2009,2010,11424652.533,59.0,2
OIBR4,2009,2010,12067798.956,60.0,2
ALLL11,2009,2010,13244743.8,61.0,2
GOAU4,2009,2010,13515205.68,62.0,3
EGIE3,2009,2010,14053539.393,63.0,3
TCSL4,2009,2010,14387623.63,64.0,3
TIMS3,2009,2010,14387623.63,65.0,3
TNLP4,2009,2010,15161180.9,66.0,3
NATU3,2009,2010,15623248.94,67.0,3
TMAR5,2009,2010,15877380.25,68.0,3
PCAR4,2009,2010,16546419.64,69.0,3
CPFE3,2009,2010,16945657.41,70.0,3
MOTV3,2009,2010,17607318.352,71.0,3
CMIG4,2009,2010,17643262.0,72.0,3
CRUZ3,2009,2010,17656654.4,73.0,3
FIBR3,2009,2010,18291579.15,74.0,3
VCPA4,2009,2010,18291579.15,75.0,3
RDCD3,2009,2010,19512128.0,76.0,3
BRFS3,2009,2010,19736427.882,77.0,3
CIEL3,2009,2010,20866265.68,78.0,3
VIVT4,2009,2010,20878479.11,79.0,3
VIVO4,2009,2010,21599692.564,80.0,3
JBSS3,2009,2010,21654846.424,81.0,3
USIM5,2009,2010,24553501.131,82.0,3
B3SA3,2009,2010,24558387.322,83.0,3
GGBR4,2009,2010,37941907.48,84.0,3
AXIA3,2009,2010,40100342.26,85.0,3
CSNA3,2009,2010,40823160.0,86.0,3
ITSA4,2009,2010,54569188.305,87.0,3
OGXP3,2009,2010,55267270.11,88.0,3
ABEV3,2009,2010,98213284.0,89.0,3
AMBV4,2009,2010,98213284.0,90.0,3
VALE5,2009,2010,243203602.1,91.0,3
PETR4,2009,2010,347084649.56,92.0,3
KEPL3,2010,2011,458245.2,1.0,1
INEP4,2010,2011,533356.2,2.0,1
PLAS3,2010,2011,607469.5,3.0,1
BEEF3,2010,2011,724612.07364,4.0,1
POSI3,2010,2011,839523.75,5.0,1
LUPA3,2010,2011,919966.46584,6.0,1
VIVR3,2010,2011,984316.05,7.0,1
VLID3,2010,2011,1041457.5,8.0,1
LAND3,2010,2011,1084190.0,9.0,1
SLED4,2010,2011,1118593.61,10.0,1
FESA4,2010,2011,1173547.2,11.0,1
GPIV33,2010,2011,1206248.7118,12.0,1
EQTL3,2010,2011,1240620.105,13.0,1
JHSF3,2010,2011,1491767.6375,14.0,1
NEXP3,2010,2011,1595537.6,15.0,1
PMAM3,2010,2011,1598953.8497,16.0,1
ALSC3,2010,2011,1910697.9,17.0,1
EVEN3,2010,2011,2006323.3088,18.0,1
EZTC3,2010,2011,2010253.924,19.0,1
SLCE3,2010,2011,2154015.6,20.0,1
COCE5,2010,2011,2201815.5936,21.0,1
MYPK3,2010,2011,2286198.3,22.0,1
CNFB4,2010,2011,2495754.061,23.0,1
BRPR3,2010,2011,2533537.92,24.0,1
MAGG3,2010,2011,2633761.7268,25.0,1
RAPT4,2010,2011,2733778.89,26.0,1
POMO4,2010,2011,2955562.5818,27.0,1
SMTO3,2010,2011,2990816.5,28.0,1
PRML3,2010,2011,3279001.55,29.0,1
IGTA3,2010,2011,3285741.2935,30.0,1
CSMG3,2010,2011,3298462.3,31.0,1
BICB4,2010,2011,3314250.05,32.0,1
AMER3,2010,2011,3473910.8775,33.0,1
FLRY3,2010,2011,3499106.3575,34.0,1
ENEV3,2010,2011,3600493.62,35.0,1
BISA3,2010,2011,3755784.5269,36.0,1
RSID3,2010,2011,3934318.7815,37.0,1
ARTR3,2010,2011,4132651.11,38.0,1
HGTX3,2010,2011,4393494.0,39.0,2
SAUD3,2010,2011,4440960.4593,40.0,2
AMAR3,2010,2011,4643303.16,41.0,2
DASA3,2010,2011,5155935.8625,42.0,2
LIGT3,2010,2011,5186043.1458,43.0,2
GFSA3,2010,2011,5188216.6,44.0,2
ELPL4,2010,2011,5233545.34,45.0,2
RENT3,2010,2011,5292433.7059,46.0,2
MMXM3,2010,2011,5311486.79,47.0,2
TOTS3,2010,2011,5316571.0,48.0,2
KLBN4,2010,2011,5320235.6486,49.0,2
MBRF3,2010,2011,5337609.4679,50.0,2
OSXB3,2010,2011,5415637.5,51.0,2
MPLU3,2010,2011,5443672.5,52.0,2
SULA11,2010,2011,5767787.584,53.0,2
AEDU11,2010,2011,5827610.44,54.0,2
SUZB5,2010,2011,5881715.78,55.0,2
TAMM4,2010,2011,5995995.92,56.0,2
ENBR3,2010,2011,6136502.75,57.0,2
AMIL3,2010,2011,6367487.2,58.0,2
MULT3,2010,2011,6573581.4222,59.0,2
GOLL54,2010,2011,6774063.3,60.0,2
BRML3,2010,2011,6896430.0,61.0,2
LREN3,2010,2011,6900483.6,62.0,2
ECOR3,2010,2011,7140173.22,63.0,2
MRVE3,2010,2011,7530810.35,64.0,2
NETC4,2010,2011,7754416.04,65.0,2
OIBR4,2010,2011,7756900.82,66.0,2
DXCO3,2010,2011,8172411.9414,67.0,2
FFTL4,2010,2011,8448621.5262,68.0,2
EMBJ3,2010,2011,8539247.0,69.0,2
GETI4,2010,2011,8656419.5,70.0,2
ISAE4,2010,2011,8748943.9,71.0,2
PSSA3,2010,2011,9208468.5476,72.0,2
CYRE3,2010,2011,9242506.3,73.0,2
TNLP4,2010,2011,10316499.54,74.0,2
ALLL11,2010,2011,10328267.52,75.0,2
LAME4,2010,2011,10387602.994,76.0,3
GOAU4,2010,2011,10451782.4,77.0,3
CPLE6,2010,2011,10849089.282,78.0,3
CSAN3,2010,2011,11214270.87,79.0,3
PDGR3,2010,2011,11239418.72,80.0,3
HYPE3,2010,2011,12342970.38,81.0,3
FIBR3,2010,2011,12377426.063,82.0,3
TMAR5,2010,2011,12380585.991,83.0,3
WEGE3,2010,2011,13535729.632,84.0,3
UGPA4,2010,2011,14078250.1,85.0,3
RDCD3,2010,2011,14161619.05,86.0,3
TCSL4,2010,2011,14737566.1,87.0,3
TIMS3,2010,2011,14737566.1,88.0,3
BRKM5,2010,2011,15133027.637,89.0,3
BRAP4,2010,2011,15224509.77,90.0,3
CMIG4,2010,2011,16441842.84,91.0,3
PCAR4,2010,2011,17847591.3,92.0,3
JBSS3,2010,2011,17872790.039,93.0,3
EGIE3,2010,2011,17917773.17,94.0,3
CIEL3,2010,2011,18295847.157,95.0,3
CPFE3,2010,2011,19822849.756,96.0,3
USIM5,2010,2011,20015650.54,97.0,3
NATU3,2010,2011,20548667.2,98.0,3
VIVT4,2010,2011,20598194.847,99.0,3
MOTV3,2010,2011,20701509.92,100.0,3
BRFS3,2010,2011,23832061.303,101.0,3
B3SA3,2010,2011,25996365.264,102.0,3
AXIA3,2010,2011,26211137.806,103.0,3
CRUZ3,2010,2011,27631319.1,104.0,3
VIVO4,2010,2011,28724083.106,105.0,3
GGBR4,2010,2011,31141151.02,106.0,3
CSNA3,2010,2011,38884062.78,107.0,3
ITSA4,2010,2011,59509615.921,108.0,3
OGXP3,2010,2011,64663232.0,109.0,3
ABEV3,2010,2011,144362370.28,110.0,3
AMBV4,2010,2011,144362370.28,111.0,3
VALE5,2010,2011,275006440.5,112.0,3
PETR4,2010,2011,380246723.17,113.0,3
MILK33,2011,2012,105223.36,1.0,1
INEP4,2011,2012,195669.9,2.0,1
LUPA3,2011,2012,212336.65835,3.0,1
POSI3,2011,2012,497686.9,4.0,1
SLED4,2011,2012,591114.7,5.0,1
FESA4,2011,2012,724778.8,6.0,1
LAND3,2011,2012,742446.4,7.0,1
PMAM3,2011,2012,941499.68915,8.0,1
NEXP3,2011,2012,1065863.7,9.0,1
TECN3,2011,2012,1203568.2548,10.0,1
VLID3,2011,2012,1206608.2,11.0,1
CTAX4,2011,2012,1359355.4281,12.0,1
EQTL3,2011,2012,1383901.9342,13.0,1
AMER3,2011,2012,1438347.033,14.0,1
EVEN3,2011,2012,1441753.2614,15.0,1
LPSB3,2011,2012,1470612.0,16.0,1
YDUQ3,2011,2012,1475180.0,17.0,1
SLCE3,2011,2012,1511093.6825,18.0,1
APER3,2011,2012,1543129.78,19.0,1
KROT11,2011,2012,1563746.3614,20.0,1
MAGG3,2011,2012,1684735.7592,21.0,1
TGMA3,2011,2012,1691309.7,22.0,1
AUTM3,2011,2012,1747603.04,23.0,1
MGLU3,2011,2012,1779152.76,24.0,1
GFSA3,2011,2012,1780247.88,25.0,1
ALOS3,2011,2012,1834171.944,26.0,1
