"Ativo","Nome","Classe","Subsetor Bovespa","Tipo de Ativo","Bolsa / Fonte"
"TTEN3<XBSP>","3tentos","ON","Agropecuária","Ação","Bovespa"
"QVUM3B<XBSP>","521 Particip","ON","-","Ação","Bovespa"
"QVQP3<XBSP>","524 Particip","ON","Outros","Ação","Bovespa"
"APPA3<XBSP>","A P Participacoes","ON","-","Ação","Bovespa"
"APPA4<XBSP>","A P Participacoes","PN","-","Ação","Bovespa"
"ABYA3<XBSP>","Abyara","ON","-","Ação","Bovespa"
"EALT3<XBSP>","Aco Altona","ON","Máquinas e equipamentos","Ação","Bovespa"
"EALT4<XBSP>","Aco Altona","PN","Máquinas e equipamentos","Ação","Bovespa"
"AVIL3<XBSP>","Acos Vill","ON","-","Ação","Bovespa"
"AVIL4<XBSP>","Acos Vill","PN","-","Ação","Bovespa"
"ADHM3<XBSP>","Advanced-Dh","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"AERI3<XBSP>","Aeris","ON","Máquinas e equipamentos","Ação","Bovespa"
"AESB3<XBSP>","AES Brasil","ON","Energia elétrica","Ação","Bovespa"
"TIET3<XBSP>","AES Brasil","ON-old","Energia elétrica","Ação","Bovespa"
"TIET4<XBSP>","AES Brasil","PN","Energia elétrica","Ação","Bovespa"
"AELP3<XBSP>","AES Elpa","ON","Outros","Ação","Bovespa"
"AESL3<XBSP>","AES Sul","ON","-","Ação","Bovespa"
"AESL4<XBSP>","AES Sul","PN","-","Ação","Bovespa"
"GETI3<XBSP>","AES Tiete","ON","-","Ação","Bovespa"
"GETI4<XBSP>","AES Tiete","PN","-","Ação","Bovespa"
"AESO3<XBSP>","Aesoperacoes","ON","Energia elétrica","Ação","Bovespa"
"AETA3<XBSP>","Aetatis Sec","ON","-","Ação","Bovespa"
"AFLU3<XBSP>","Afluente","ON","Energia elétrica","Ação","Bovespa"
"AFLU5<XBSP>","Afluente","PNA","Energia elétrica","Ação","Bovespa"
"AFLU6<XBSP>","Afluente","PNB","Energia elétrica","Ação","Bovespa"
"AFLT3<XBSP>","Afluente T","ON","Energia elétrica","Ação","Bovespa"
"ANDG3B<XBSP>","AGconcessoes","ON","Holdings diversificadas","Ação","Bovespa"
"ANDG4B<XBSP>","AGconcessoes","PN","Holdings diversificadas","Ação","Bovespa"
"BSGR3<XBSP>","AGF Brasil","ON","-","Ação","Bovespa"
"CANT3B<XBSP>","Agpart","ON","Holdings diversificadas","Ação","Bovespa"
"CANT4B<XBSP>","Agpart","PN","Holdings diversificadas","Ação","Bovespa"
"AGIN3<XBSP>","Agra Incorp","ON","-","Ação","Bovespa"
"AGRA4<XBSP>","Agrale","PN","-","Ação","Bovespa"
"AGEI3<XBSP>","Agre Emp Imo","ON","-","Ação","Bovespa"
"AGEN33<XBSP>","Agrenco","ON","Comércio e distribuição","Ação","Bovespa"
"GRAO3<XBSP>","Agribrasil","ON","Agropecuária","Ação","Bovespa"
"SAGR4<XBSP>","Agroceres","PN","-","Ação","Bovespa"
"AGXY3<XBSP>","Agrogalaxy","ON","Agropecuária","Ação","Bovespa"
"ALBA3<XBSP>","Albarus","ON","-","Ação","Bovespa"
"BRGE3<XBSP>","Alfa Consorc","ON","Previdência e seguros","Ação","Bovespa"
"BRGE5<XBSP>","Alfa Consorc","PNA","Previdência e seguros","Ação","Bovespa"
"BRGE6<XBSP>","Alfa Consorc","PNB","Previdência e seguros","Ação","Bovespa"
"BRGE7<XBSP>","Alfa Consorc","PNC","Previdência e seguros","Ação","Bovespa"
"BRGE8<XBSP>","Alfa Consorc","PND","Previdência e seguros","Ação","Bovespa"
"BRGE11<XBSP>","Alfa Consorc","PNE","Previdência e seguros","Ação","Bovespa"
"BRGE12<XBSP>","Alfa Consorc","PNF","Previdência e seguros","Ação","Bovespa"
"ALSC3<XBSP>","Aliansce","ON","Exploração de imóveis","Ação","Bovespa"
"APTI3<XBSP>","Aliperti","ON","Agropecuária","Ação","Bovespa"
"APTI4<XBSP>","Aliperti","PN","Agropecuária","Ação","Bovespa"
"FRRN3B<XBSP>","All Norte","ON","Transporte","Ação","Bovespa"
"FRRN5B<XBSP>","All Norte","PNA","Transporte","Ação","Bovespa"
"FRRN6B<XBSP>","All Norte","PNB","Transporte","Ação","Bovespa"
"AALR3<XBSP>","Alliar","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"ALLD3<XBSP>","Allied","ON","Comércio","Ação","Bovespa"
"SAGP3B<XBSP>","Allis Part","ON","-","Ação","Bovespa"
"ALOS3<XBSP>","Allos","ON","Exploração de imóveis","Ação","Bovespa"
"ALPA3<XBSP>","Alpargatas","ON","Tecidos vestuário e calçados","Ação","Bovespa"
"ALPA4<XBSP>","Alpargatas","PN","Tecidos vestuário e calçados","Ação","Bovespa"
"APER3<XBSP>","Alper S.A.","ON","Previdência e seguros","Ação","Bovespa"
"AVLL3<XBSP>","Alphaville","ON","Construção civil","Ação","Bovespa"
"ALTR3<XBSP>","Altere Sec","ON","-","Ação","Bovespa"
"ALTS3<XBSP>","Altus S/A","ON","Serviços diversos","Ação","Bovespa"
"ALTS11<XBSP>","Altus S/A","PN Resg","Serviços diversos","Ação","Bovespa"
"ALUP3<XBSP>","Alupar","ON","Energia elétrica","Ação","Bovespa"
"ALUP4<XBSP>","Alupar","PN","Energia elétrica","Ação","Bovespa"
"ALUP11<XBSP>","Alupar","UNT N2","Energia elétrica","Ação","Bovespa"
"ACES3<XBSP>","Am Inox BR","ON","-","Ação","Bovespa"
"ACES4<XBSP>","Am Inox BR","PN","-","Ação","Bovespa"
"ROSI4<XBSP>","Amadeo Rossi","PN","-","Ação","Bovespa"
"TMAC3B<XBSP>","Amazonia Celular","ON","-","Ação","Bovespa"
"TMAC5B<XBSP>","Amazonia Celular","PNA","-","Ação","Bovespa"
"TMAC6B<XBSP>","Amazonia Celular","PNB","-","Ação","Bovespa"
"TMAC7B<XBSP>","Amazonia Celular","PNC","-","Ação","Bovespa"
"TMAC8B<XBSP>","Amazonia Celular","PND","-","Ação","Bovespa"
"TMAC11B<XBSP>","Amazonia Celular","PNE","-","Ação","Bovespa"
"ABEV3<XBSP>","Ambev S/A","ON","Bebidas","Ação","Bovespa"
"AMBV4<XBSP>","Ambev S/A","PN","Bebidas","Ação","Bovespa"
"AMBP3<XBSP>","Ambipar","ON","Água e saneamento","Ação","Bovespa"
"AMLC4<XBSP>","Amelco","PN","-","Ação","Bovespa"
"BASU5<XBSP>","America do Sul","PNA","-","Ação","Bovespa"
"AMER3<XBSP>","Americanas","ON","Comércio","Ação","Bovespa"
"AMIL3<XBSP>","Amil","ON","-","Ação","Bovespa"
"CBEE3<XBSP>","Ampla Energ","ON","Energia elétrica","Ação","Bovespa"
"AMPI3<XBSP>","Ampla Invest","ON","-","Ação","Bovespa"
"IRON3<XBSP>","Anglo Brazil","ON","-","Ação","Bovespa"
"AEDU3<XBSP>","Anhanguera","ON","-","Ação","Bovespa"
"AEDU4<XBSP>","Anhanguera","PN","-","Ação","Bovespa"
"AEDU11<XBSP>","Anhanguera","UNT N2","-","Ação","Bovespa"
"ANIM3<XBSP>","Anima","ON","Diversos","Ação","Bovespa"
"IBAN3<XBSP>","Antarct Nordeste","ON","-","Ação","Bovespa"
"IBAN5<XBSP>","Antarct Nordeste","PNA","-","Ação","Bovespa"
"ITLM5<XBSP>","Antarctica MG","PNA","-","Ação","Bovespa"
"ANTA3<XBSP>","Antarctica Paulista","ON","-","Ação","Bovespa"
"ANTA4<XBSP>","Antarctica Paulista","PN","-","Ação","Bovespa"
"ANPB3<XBSP>","Antarctica Pb","ON","-","Ação","Bovespa"
"ANPB5<XBSP>","Antarctica Pb","PNA","-","Ação","Bovespa"
"IBPI5<XBSP>","Antarctica Pi","PNA","-","Ação","Bovespa"
"IBPI6<XBSP>","Antarctica Pi","PNB","-","Ação","Bovespa"
"AQT4<XBSP>","Aquatec","PN","-","Ação","Bovespa"
"ARCZ3<XBSP>","Aracruz","ON","-","Ação","Bovespa"
"ARCZ5<XBSP>","Aracruz","PNA","-","Ação","Bovespa"
"ARCZ6<XBSP>","Aracruz","PNB","-","Ação","Bovespa"
"ARND3<XBSP>","Arandu","ON","Programas e serviços","Ação","Bovespa"
"VDNP3B<XBSP>","Araucaria","ON","-","Ação","Bovespa"
"ARCE3<XBSP>","Arcelor BR","ON","-","Ação","Bovespa"
"ARCE4<XBSP>","Arcelor BR","PN","-","Ação","Bovespa"
"ARML3<XBSP>","Armac","ON","Máquinas e equipamentos","Ação","Bovespa"
"ARNO4<XBSP>","Arno","PN","-","Ação","Bovespa"
"ATBS3<XBSP>","Arteb","ON","-","Ação","Bovespa"
"ARTR3<XBSP>","Arteris","ON","Transporte","Ação","Bovespa"
"ARLA3<XBSP>","Arthur Lange","ON","-","Ação","Bovespa"
"ARLA4<XBSP>","Arthur Lange","PN","-","Ação","Bovespa"
"ASAI3<XBSP>","Assai","ON","Comércio e distribuição","Ação","Bovespa"
"ATED3<XBSP>","Atom Educ","ON","Outros","Ação","Bovespa"
