"Ativo","Nome","Classe","Subsetor Bovespa","Tipo de Ativo","Bolsa / Fonte","Código"
"TTEN3<XBSP>","3tentos","ON","Agropecuária","Ação","Bovespa","TTEN3"
"QVUM3B<XBSP>","521 Particip","ON","-","Ação","Bovespa","QVUM3B"
"QVQP3<XBSP>","524 Particip","ON","Outros","Ação","Bovespa","QVQP3"
"APPA3<XBSP>","A P Participacoes","ON","-","Ação","Bovespa","APPA3"
"APPA4<XBSP>","A P Participacoes","PN","-","Ação","Bovespa","APPA4"
"ABYA3<XBSP>","Abyara","ON","-","Ação","Bovespa","ABYA3"
"EALT3<XBSP>","Aco Altona","ON","Máquinas e equipamentos","Ação","Bovespa","EALT3"
"EALT4<XBSP>","Aco Altona","PN","Máquinas e equipamentos","Ação","Bovespa","EALT4"
"AVIL3<XBSP>","Acos Vill","ON","-","Ação","Bovespa","AVIL3"
"AVIL4<XBSP>","Acos Vill","PN","-","Ação","Bovespa","AVIL4"
"ADHM3<XBSP>","Advanced-Dh","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","ADHM3"
"AERI3<XBSP>","Aeris","ON","Máquinas e equipamentos","Ação","Bovespa","AERI3"
"AESB3<XBSP>","AES Brasil","ON","Energia elétrica","Ação","Bovespa","AESB3"
"TIET3<XBSP>","AES Brasil","ON-old","Energia elétrica","Ação","Bovespa","TIET3"
"TIET4<XBSP>","AES Brasil","PN","Energia elétrica","Ação","Bovespa","TIET4"
"AELP3<XBSP>","AES Elpa","ON","Outros","Ação","Bovespa","AELP3"
"AESL3<XBSP>","AES Sul","ON","-","Ação","Bovespa","AESL3"
"AESL4<XBSP>","AES Sul","PN","-","Ação","Bovespa","AESL4"
"GETI3<XBSP>","AES Tiete","ON","-","Ação","Bovespa","GETI3"
"GETI4<XBSP>","AES Tiete","PN","-","Ação","Bovespa","GETI4"
"AESO3<XBSP>","Aesoperacoes","ON","Energia elétrica","Ação","Bovespa","AESO3"
"AETA3<XBSP>","Aetatis Sec","ON","-","Ação","Bovespa","AETA3"
"AFLU3<XBSP>","Afluente","ON","Energia elétrica","Ação","Bovespa","AFLU3"
"AFLU5<XBSP>","Afluente","PNA","Energia elétrica","Ação","Bovespa","AFLU5"
"AFLU6<XBSP>","Afluente","PNB","Energia elétrica","Ação","Bovespa","AFLU6"
"AFLT3<XBSP>","Afluente T","ON","Energia elétrica","Ação","Bovespa","AFLT3"
"ANDG3B<XBSP>","AGconcessoes","ON","Holdings diversificadas","Ação","Bovespa","ANDG3B"
"ANDG4B<XBSP>","AGconcessoes","PN","Holdings diversificadas","Ação","Bovespa","ANDG4B"
"BSGR3<XBSP>","AGF Brasil","ON","-","Ação","Bovespa","BSGR3"
"CANT3B<XBSP>","Agpart","ON","Holdings diversificadas","Ação","Bovespa","CANT3B"
"CANT4B<XBSP>","Agpart","PN","Holdings diversificadas","Ação","Bovespa","CANT4B"
"AGIN3<XBSP>","Agra Incorp","ON","-","Ação","Bovespa","AGIN3"
"AGRA4<XBSP>","Agrale","PN","-","Ação","Bovespa","AGRA4"
"AGEI3<XBSP>","Agre Emp Imo","ON","-","Ação","Bovespa","AGEI3"
"AGEN33<XBSP>","Agrenco","ON","Comércio e distribuição","Ação","Bovespa","AGEN33"
"GRAO3<XBSP>","Agribrasil","ON","Agropecuária","Ação","Bovespa","GRAO3"
"SAGR4<XBSP>","Agroceres","PN","-","Ação","Bovespa","SAGR4"
"AGXY3<XBSP>","Agrogalaxy","ON","Agropecuária","Ação","Bovespa","AGXY3"
"ALBA3<XBSP>","Albarus","ON","-","Ação","Bovespa","ALBA3"
"BRGE3<XBSP>","Alfa Consorc","ON","Previdência e seguros","Ação","Bovespa","BRGE3"
"BRGE5<XBSP>","Alfa Consorc","PNA","Previdência e seguros","Ação","Bovespa","BRGE5"
"BRGE6<XBSP>","Alfa Consorc","PNB","Previdência e seguros","Ação","Bovespa","BRGE6"
"BRGE7<XBSP>","Alfa Consorc","PNC","Previdência e seguros","Ação","Bovespa","BRGE7"
"BRGE8<XBSP>","Alfa Consorc","PND","Previdência e seguros","Ação","Bovespa","BRGE8"
"BRGE11<XBSP>","Alfa Consorc","PNE","Previdência e seguros","Ação","Bovespa","BRGE11"
"BRGE12<XBSP>","Alfa Consorc","PNF","Previdência e seguros","Ação","Bovespa","BRGE12"
"ALSC3<XBSP>","Aliansce","ON","Exploração de imóveis","Ação","Bovespa","ALSC3"
"APTI3<XBSP>","Aliperti","ON","Agropecuária","Ação","Bovespa","APTI3"
"APTI4<XBSP>","Aliperti","PN","Agropecuária","Ação","Bovespa","APTI4"
"FRRN3B<XBSP>","All Norte","ON","Transporte","Ação","Bovespa","FRRN3B"
"FRRN5B<XBSP>","All Norte","PNA","Transporte","Ação","Bovespa","FRRN5B"
"FRRN6B<XBSP>","All Norte","PNB","Transporte","Ação","Bovespa","FRRN6B"
"AALR3<XBSP>","Alliar","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","AALR3"
"ALLD3<XBSP>","Allied","ON","Comércio","Ação","Bovespa","ALLD3"
"SAGP3B<XBSP>","Allis Part","ON","-","Ação","Bovespa","SAGP3B"
"ALOS3<XBSP>","Allos","ON","Exploração de imóveis","Ação","Bovespa","ALOS3"
"ALPA3<XBSP>","Alpargatas","ON","Tecidos vestuário e calçados","Ação","Bovespa","ALPA3"
"ALPA4<XBSP>","Alpargatas","PN","Tecidos vestuário e calçados","Ação","Bovespa","ALPA4"
"APER3<XBSP>","Alper S.A.","ON","Previdência e seguros","Ação","Bovespa","APER3"
"AVLL3<XBSP>","Alphaville","ON","Construção civil","Ação","Bovespa","AVLL3"
"ALTR3<XBSP>","Altere Sec","ON","-","Ação","Bovespa","ALTR3"
"ALTS3<XBSP>","Altus S/A","ON","Serviços diversos","Ação","Bovespa","ALTS3"
"ALTS11<XBSP>","Altus S/A","PN Resg","Serviços diversos","Ação","Bovespa","ALTS11"
"ALUP3<XBSP>","Alupar","ON","Energia elétrica","Ação","Bovespa","ALUP3"
"ALUP4<XBSP>","Alupar","PN","Energia elétrica","Ação","Bovespa","ALUP4"
"ALUP11<XBSP>","Alupar","UNT N2","Energia elétrica","Ação","Bovespa","ALUP11"
"ACES3<XBSP>","Am Inox BR","ON","-","Ação","Bovespa","ACES3"
"ACES4<XBSP>","Am Inox BR","PN","-","Ação","Bovespa","ACES4"
"ROSI4<XBSP>","Amadeo Rossi","PN","-","Ação","Bovespa","ROSI4"
